,Age,Number of Dependents,Latitude,Longitude,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Internet Type_DSL,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Customer Status
33,28,0,32.690654,-115.431225,0,67,23.12,0.0,20.55,1343.4,1549.04,2861.91,0,0,0,1,Stayed
34,33,1,40.677649,-122.29467,4,20,0.0,22.0,39.4,825.4,0.0,825.4,0,1,0,0,Stayed
35,31,3,37.084697,-121.606417,0,43,30.64,0.0,25.1,1070.15,1317.52,2387.67,0,0,0,0,Stayed
36,37,0,38.044523,-121.348048,2,55,5.08,9.0,89.8,4959.6,279.4,5239.0,0,1,1,0,Stayed
37,60,0,33.964131,-118.272783,4,59,16.39,14.0,94.75,5597.65,967.01,6564.66,0,1,1,0,Stayed
38,48,3,33.97803,-118.217141,3,12,19.28,0.0,20.3,224.5,231.36,455.86,0,0,0,0,Stayed
39,60,3,35.013299,-116.834092,7,27,25.26,23.0,75.75,1929.0,682.02,2611.02,0,1,1,0,Stayed
40,69,0,32.961064,-117.134917,0,2,43.99,27.0,49.25,91.1,87.98,179.08,1,1,1,0,Churned
41,20,0,37.516791,-121.899117,0,27,48.91,59.0,78.2,2078.95,1320.57,3399.52,1,1,0,1,Stayed
42,31,3,38.439696,-122.668817,1,25,23.69,0.0,25.5,630.6,592.25,1178.43,0,0,0,0,Stayed
43,46,0,37.327069,-121.916819,5,25,6.45,19.0,61.6,1611.0,161.25,1727.35,0,1,0,1,Stayed
44,57,1,34.296574,-118.244839,0,29,0.0,21.0,45.0,1242.45,0.0,1230.19,1,1,1,0,Stayed
45,19,0,36.391777,-119.372842,5,72,32.36,52.0,85.15,6316.2,2329.92,8646.12,1,1,0,0,Stayed
46,64,0,38.123544,-121.159078,0,14,24.04,12.0,51.45,727.85,336.56,1064.41,0,1,0,1,Stayed
47,38,0,37.654551,-119.822984,0,35,36.42,2.0,99.25,3532.0,1274.7,4806.7,0,1,0,1,Stayed
49,50,0,37.956963,-120.863055,0,29,2.05,17.0,94.2,2607.6,59.45,2687.05,0,0,1,0,Stayed
50,25,0,41.813521,-121.492666,0,64,5.49,69.0,81.25,5567.55,351.36,5958.91,1,0,0,1,Stayed
51,35,3,38.42528,-119.475741,1,39,24.38,53.0,99.95,3767.4,950.82,4718.22,0,1,1,0,Stayed
52,72,0,34.581308,-118.931948,0,40,44.14,23.0,91.55,3673.6,1765.6,5439.2,0,1,0,0,Stayed
53,51,0,33.832799,-116.250973,0,40,37.69,15.0,104.5,4036.85,1507.6,5544.45,0,1,1,0,Churned
54,78,1,34.207295,-118.400022,0,11,11.59,29.0,95.0,1120.3,127.49,1367.79,0,0,1,0,Churned
55,30,0,38.099323,-122.945723,10,6,42.66,85.0,50.35,314.55,255.96,570.51,0,1,1,0,Stayed
56,58,0,38.526941,-122.709096,0,30,2.64,15.0,64.5,1888.45,79.2,1967.65,1,1,1,0,Stayed
57,26,0,37.387027,-121.897775,0,27,20.66,0.0,19.4,529.8,557.82,1087.62,0,0,1,0,Stayed
58,66,0,33.782068,-118.262263,3,70,39.49,28.0,104.8,7308.95,2764.3,10067.14,0,1,0,1,Stayed
59,20,0,37.670526,-120.877572,10,57,8.01,73.0,109.4,6252.7,456.57,6709.27,0,1,0,1,Stayed
60,61,0,32.697098,-117.116587,10,58,18.37,18.0,50.3,2878.55,1065.46,3933.78,1,1,0,1,Stayed
61,24,0,33.753146,-118.367459,0,16,25.71,48.0,71.4,1212.1,411.36,1623.46,1,1,1,0,Stayed
62,55,0,38.419525,-122.521585,3,69,38.52,27.0,116.0,8182.85,2657.88,10840.73,0,1,0,0,Stayed
63,32,0,38.41935,-120.469545,0,1,31.77,0.0,19.85,19.85,31.77,51.62,0,0,1,0,Churned
64,59,0,34.003553,-118.308933,0,1,40.71,25.0,99.75,99.75,40.71,140.46,0,1,1,0,Churned
65,71,1,34.097863,-116.594561,9,32,31.86,23.0,93.95,2861.45,1019.52,3880.97,0,1,0,1,Stayed
66,49,2,33.3249,-114.758334,8,16,48.71,12.0,90.8,1442.2,779.36,2221.56,0,1,1,0,Stayed
67,61,0,34.39583,-117.734568,1,49,39.55,10.0,84.35,4059.35,1937.95,5997.3,0,1,0,1,Churned
68,40,0,35.591387,-121.032256,2,71,0.0,29.0,58.25,4145.9,0.0,4145.9,0,1,0,0,Stayed
69,39,0,40.923558,-122.059933,0,33,49.69,12.0,107.55,3645.5,1639.77,5285.27,0,1,1,0,Stayed
70,21,0,41.572813,-124.035011,9,10,49.6,0.0,19.95,187.75,496.0,683.75,0,0,1,0,Stayed
71,24,0,36.841655,-119.797113,1,21,36.26,59.0,111.2,2317.1,761.46,3198.56,0,0,1,0,Churned
72,52,1,38.542448,-122.419923,1,37,0.0,23.0,40.2,1448.8,0.0,1448.8,1,1,1,0,Churned
73,71,0,37.249377,-120.249581,0,26,33.74,7.0,85.8,2193.65,877.24,3070.89,0,1,1,0,Stayed
74,45,0,40.142256,-123.852927,0,50,0.0,7.0,35.4,1748.9,0.0,1748.9,1,1,0,1,Stayed
75,29,0,32.85723,-117.209774,0,7,28.62,26.0,73.85,511.25,200.34,698.56,0,1,1,0,Churned
76,62,0,34.049172,-118.115022,1,61,47.19,28.0,88.1,5526.75,2878.59,8405.34,1,1,0,0,Stayed
77,42,0,37.818589,-120.256995,0,15,45.92,12.0,101.35,1553.95,688.8,2242.75,0,1,1,0,Churned
78,51,2,34.364153,-118.615583,0,26,0.0,19.0,45.8,1147.0,0.0,1147.0,1,1,1,0,Stayed
79,39,0,38.671295,-121.388251,9,72,33.22,23.0,94.65,6747.35,2391.84,9139.19,0,1,1,0,Stayed
80,64,0,34.038983,-117.991372,1,44,27.4,0.0,20.5,865.05,1205.6,2070.65,0,0,0,1,Stayed
81,55,0,39.045246,-122.743181,0,66,48.78,8.0,89.4,5976.9,3219.48,9200.36,0,0,1,0,Stayed
82,40,0,34.074736,-118.145959,0,2,36.81,16.0,86.25,181.65,73.62,255.27,0,1,1,0,Churned
83,76,0,34.031529,-118.491156,0,44,7.72,17.0,74.85,3268.05,339.68,3589.82,1,1,0,1,Stayed
84,57,0,38.123544,-121.159078,0,12,14.38,6.0,89.75,1052.4,172.56,1224.96,0,1,1,0,Churned
85,71,0,33.973616,-118.24902,1,69,18.41,17.0,109.95,7634.25,1270.29,8904.54,0,1,0,0,Stayed
86,25,0,38.287136,-122.02711,0,1,1.23,69.0,80.2,80.2,1.23,81.43,0,1,1,0,Churned
87,24,0,37.974498,-121.319568,0,3,25.75,0.0,19.85,63.75,77.25,141.0,0,0,1,0,Churned
89,77,0,33.362575,-117.299644,0,27,2.97,4.0,86.45,2401.05,80.19,2481.24,0,1,0,0,Stayed
90,57,0,35.405722,-117.773354,0,26,13.34,0.0,20.3,511.25,346.84,858.09,0,0,1,0,Stayed
91,73,0,35.453912,-120.69461,9,39,20.15,21.0,101.25,3949.15,785.85,4735.0,0,1,1,0,Stayed
92,41,0,37.329725,-120.306399,0,25,34.88,8.0,94.7,2362.1,872.0,3234.1,0,1,1,0,Churned
93,43,0,34.312945,-118.858169,0,1,39.81,23.0,70.9,70.9,39.81,110.71,0,1,1,0,Churned
94,48,0,34.624399,-120.137875,1,22,27.24,21.0,54.2,1152.7,599.28,1751.98,1,1,1,0,Churned
95,56,0,38.629618,-122.593216,0,72,48.37,5.0,114.9,8496.7,3482.64,11979.34,0,1,0,0,Stayed
96,51,0,33.902045,-118.008961,0,24,10.64,0.0,19.55,470.2,255.36,725.56,0,0,0,0,Stayed
97,34,0,34.95703,-117.73045,8,19,7.84,16.0,86.85,1564.4,148.96,1713.36,0,1,1,0,Stayed
98,21,2,33.119028,-117.166036,2,71,9.2,0.0,25.35,1847.55,653.2,2500.75,0,0,0,0,Stayed
99,78,0,33.889605,-115.257009,7,33,25.15,20.0,109.9,3694.7,829.95,4524.65,0,1,0,1,Stayed
101,54,1,37.939768,-120.188002,7,47,1.09,13.0,87.2,4017.45,51.23,4068.68,0,1,1,0,Stayed
102,42,3,32.807867,-117.060993,2,62,1.76,20.0,108.15,6825.65,109.12,6934.77,0,1,0,0,Stayed
103,22,0,38.912881,-121.082766,0,71,2.88,48.0,116.3,8309.55,204.48,8514.03,0,1,0,1,Stayed
104,71,0,36.623632,-119.741322,8,7,41.97,11.0,89.0,605.45,293.79,899.24,0,1,0,0,Stayed
105,56,2,36.657462,-119.595293,6,27,46.66,28.0,74.4,1972.35,1259.82,3232.17,0,1,1,0,Stayed
107,32,3,34.341737,-116.539416,0,25,0.0,75.0,35.05,844.45,0.0,844.45,0,1,0,0,Stayed
108,80,0,33.914775,-118.348083,0,30,38.61,5.0,74.75,2111.3,1158.3,3269.6,1,1,0,1,Stayed
109,73,0,35.059695,-120.604741,1,58,16.94,19.0,105.5,6205.5,982.52,7188.02,0,1,0,1,Churned
110,26,0,36.315979,-119.710852,1,10,2.02,82.0,85.25,855.3,20.2,975.5,0,0,1,0,Churned
111,59,0,38.384648,-121.578701,0,9,9.27,28.0,75.2,633.85,83.43,717.28,0,1,1,0,Stayed
112,78,0,33.716136,-117.752574,1,6,28.71,17.0,84.35,474.9,172.26,647.16,0,1,1,0,Churned
113,47,1,37.070177,-122.010077,7,69,38.92,16.0,84.45,5848.6,2685.48,8574.08,0,0,0,1,Stayed
114,68,0,37.713152,-121.08739,0,66,10.45,20.0,102.4,6471.85,689.7,7161.55,0,1,0,0,Stayed
115,30,0,40.965011,-124.015255,0,70,10.21,52.0,115.55,8127.6,714.7,8842.3,0,1,0,1,Churned
116,62,0,37.454924,-122.203168,0,25,5.57,0.0,25.3,676.35,139.25,815.6,0,0,0,1,Churned
117,52,2,33.721917,-118.043237,1,46,24.33,0.0,19.25,864.2,1119.18,1983.38,0,0,0,0,Stayed
118,63,0,33.982787,-117.057627,7,54,11.4,26.0,114.65,6049.5,615.6,6665.1,0,1,0,1,Stayed
119,54,0,37.691561,-122.445202,0,15,22.39,7.0,105.1,1582.75,335.85,1918.6,0,1,1,0,Churned
120,48,1,38.787446,-122.58675,0,12,8.25,0.0,19.4,198.1,99.0,297.1,0,0,1,0,Stayed
121,51,0,37.858898,-122.240512,0,22,0.0,22.0,50.35,1098.85,0.0,1098.85,0,1,1,0,Stayed
122,22,0,35.637715,-119.893068,9,70,0.0,85.0,57.8,4039.3,0.0,4038.29,0,1,0,0,Stayed
123,52,0,33.766476,-117.969795,0,30,24.73,20.0,84.3,2438.6,741.9,3310.5,0,0,1,0,Stayed
124,22,1,33.752938,-116.230055,1,71,28.34,59.0,100.55,7113.75,2012.14,9108.9,0,1,0,1,Stayed
125,33,0,34.156629,-119.117218,2,30,9.81,0.0,19.8,576.65,294.3,870.95,0,0,0,1,Stayed
126,26,0,32.85723,-117.209774,5,4,28.77,19.0,84.8,371.9,115.08,486.98,0,1,1,0,Churned
127,58,0,33.141265,-116.967221,0,2,14.14,28.0,85.85,167.3,28.28,195.58,0,1,1,0,Churned
128,22,1,33.923149,-117.244933,0,10,7.86,0.0,19.95,219.5,78.6,298.1,0,0,0,1,Stayed
129,66,0,33.990646,-117.663025,0,4,36.4,29.0,75.35,273.4,145.6,419.0,0,1,0,1,Stayed
130,69,0,38.53508,-121.444144,0,52,0.0,19.0,48.8,2555.05,0.0,2555.05,1,1,0,0,Stayed
131,25,0,32.825086,-117.199424,0,5,22.01,85.0,47.15,223.15,110.05,333.2,0,1,1,0,Churned
132,30,3,37.474396,-120.875917,1,8,2.87,0.0,20.15,165.5,22.96,188.46,0,0,0,0,Stayed
135,40,0,37.160194,-121.945611,0,19,11.85,18.0,59.55,1144.6,225.15,1369.75,1,1,1,0,Stayed
136,53,0,36.917652,-119.593757,0,72,3.66,13.0,69.65,4908.25,263.52,5171.77,1,1,0,0,Stayed
137,76,0,40.648024,-123.465088,2,63,0.0,7.0,36.1,2298.9,0.0,2298.9,1,1,0,1,Stayed
138,38,0,34.153733,-118.593408,1,66,0.0,29.0,56.6,3789.2,0.0,3789.2,1,1,0,0,Stayed
139,23,0,33.507255,-117.029473,0,1,44.56,27.0,75.9,75.9,44.56,120.46,0,1,1,0,Churned
140,24,0,37.361987,-120.748394,0,60,15.29,48.0,79.2,4765.0,917.4,5682.4,0,1,0,1,Stayed
141,43,3,36.185471,-119.375243,3,48,0.0,22.0,45.0,2196.3,0.0,2196.3,1,1,0,1,Stayed
142,45,0,34.631362,-120.238218,0,1,33.34,4.0,85.55,85.55,33.34,118.89,0,1,1,0,Churned
143,49,0,34.557711,-118.029441,0,15,48.93,15.0,93.35,1444.65,733.95,2178.6,0,1,1,0,Churned
144,62,0,33.744439,-117.98588,4,50,34.57,13.0,109.65,5405.8,1728.5,7134.3,0,1,1,0,Stayed
145,25,1,38.672638,-121.147403,10,72,33.75,30.0,89.7,6339.3,2430.0,8769.3,0,1,0,0,Stayed
146,37,0,37.787186,-122.14633,0,46,43.27,21.0,84.25,3847.6,1990.42,5938.02,0,0,1,0,Stayed
147,35,1,37.99272,-122.575026,4,72,30.0,19.0,92.65,6733.0,2160.0,8893.0,1,1,0,0,Stayed
150,69,0,33.429488,-117.609432,0,67,2.57,21.0,92.45,6140.85,172.19,6313.04,0,1,0,0,Stayed
151,44,1,34.076259,-118.310715,5,48,8.94,27.0,79.65,3870.3,429.12,4299.42,1,1,0,0,Stayed
152,19,0,33.940884,-118.128628,0,72,41.91,73.0,109.9,7624.2,3017.52,10641.72,0,1,0,0,Stayed
153,64,0,38.377165,-123.037957,6,52,41.34,24.0,81.4,4354.45,2149.68,6504.13,0,1,0,1,Stayed
154,44,3,39.461768,-121.195825,1,67,46.9,28.0,50.55,3431.75,3142.3,6574.05,0,1,0,1,Stayed
155,58,0,34.702766,-116.093376,1,28,16.85,13.0,81.05,2227.1,471.8,2698.9,0,1,1,0,Churned
156,29,1,37.348129,-121.98469,9,32,33.28,51.0,62.45,2045.55,1064.96,3110.51,1,1,1,0,Stayed
157,80,0,33.828289,-117.201666,2,27,7.02,25.0,75.2,1929.35,189.54,2118.89,0,1,1,0,Churned
159,22,0,32.85723,-117.209774,0,2,40.43,27.0,85.65,181.5,80.86,262.36,0,1,1,0,Churned
160,50,2,34.102119,-117.815532,0,9,35.49,11.0,72.9,651.4,319.41,970.81,0,1,1,0,Churned
161,53,2,38.724322,-120.991237,10,50,44.49,28.0,70.5,3486.65,2224.5,5711.15,0,1,0,0,Stayed
162,45,2,39.745805,-120.580882,1,71,31.03,0.0,20.1,1389.6,2203.13,3592.73,0,0,0,0,Stayed
163,76,0,32.85723,-117.209774,2,32,47.34,10.0,74.9,2303.35,1514.88,3818.23,0,1,1,0,Churned
164,57,3,38.815515,-120.916997,10,16,27.27,76.0,100.7,1522.7,436.32,1959.02,0,1,1,0,Stayed
165,45,3,33.119028,-117.166036,8,67,17.79,22.0,105.65,6717.9,1191.93,7909.83,0,1,0,0,Stayed
166,43,1,34.601055,-120.382917,1,72,15.94,13.0,114.3,8058.55,1147.68,9206.23,0,1,0,0,Stayed
167,41,0,38.803731,-121.043799,0,3,24.63,0.0,19.75,58.85,73.89,132.74,0,0,1,0,Churned
168,22,3,37.802071,-122.411004,1,23,48.02,0.0,24.35,538.5,1104.46,1642.96,0,0,0,1,Stayed
169,62,2,34.266389,-118.459744,1,72,28.37,18.0,69.85,5102.35,2042.64,7119.75,1,1,0,0,Stayed
170,21,2,33.994524,-118.149953,9,7,0.0,47.0,66.52857142857142,465.7,0.0,465.7,0,1,1,0,Stayed
171,49,3,33.798266,-118.300237,10,8,1.56,57.0,54.4,475.1,12.48,487.58,1,1,1,0,Stayed
172,33,4,37.791998,-122.408653,9,66,0.0,23.0,50.55,3364.55,0.0,3474.55,0,0,0,0,Stayed
173,30,0,33.956445,-118.358634,0,5,34.26,0.0,21.05,113.85,171.3,285.15,0,0,1,0,Churned
174,38,1,34.039224,-118.266293,0,49,44.33,11.0,103.7,5036.3,2172.17,7208.47,0,1,1,0,Churned
175,56,0,37.22565,-122.297533,2,63,38.36,0.0,19.95,1234.8,2416.68,3651.48,0,0,0,0,Stayed
176,70,1,36.878364,-121.629781,1,12,0.0,14.0,29.3,355.9,0.0,355.9,1,1,1,0,Stayed
177,54,6,36.64545,-118.924982,5,27,36.19,53.0,54.75,1510.3,977.13,2487.43,1,1,1,0,Stayed
178,57,0,36.622237,-119.521126,0,35,44.81,20.0,60.55,1982.6,1568.35,3550.95,1,1,1,0,Stayed
179,40,2,36.27688,-117.033326,7,54,4.33,12.0,86.2,4524.05,233.82,4757.87,1,1,1,0,Stayed
180,56,0,34.031441,-117.936436,0,1,5.59,2.0,95.45,95.45,5.59,101.04,0,1,1,0,Churned
181,38,0,36.452211,-119.94575,0,5,13.96,5.0,63.95,318.1,69.8,387.9,1,1,1,0,Stayed
182,61,0,37.791222,-122.402241,0,19,41.79,6.0,65.35,1231.85,794.01,2085.86,1,0,0,1,Stayed
183,35,2,39.657228,-121.37778,1,52,0.0,17.0,50.2,2554.0,0.0,2526.99,1,1,0,0,Stayed
184,61,3,38.493888,-122.777141,8,72,0.0,22.0,63.8,4684.3,0.0,4684.3,1,1,0,0,Stayed
185,50,0,36.977025,-121.952864,0,32,14.91,0.0,20.05,614.45,477.12,1081.84,0,0,0,0,Stayed
186,47,0,32.787836,-117.232376,1,8,16.88,6.0,101.15,842.9,135.04,977.94,0,1,1,0,Churned
187,35,0,34.127621,-117.717863,0,41,37.55,30.0,65.0,2531.8,1539.55,4211.35,1,0,0,1,Stayed
188,32,0,34.182378,-118.262922,0,5,21.01,0.0,19.25,86.05,105.05,191.1,0,0,1,0,Stayed
189,54,1,33.876482,-118.284077,0,11,0.0,17.0,36.05,402.6,0.0,502.6,1,0,0,1,Stayed
190,61,0,33.362575,-117.299644,0,5,31.09,11.0,96.1,453.4,155.45,608.85,0,1,1,0,Churned
191,62,0,37.721052,-122.413573,0,16,41.51,0.0,19.05,326.65,664.16,990.81,0,0,0,1,Stayed
192,80,0,32.886925,-117.152162,0,71,6.1,9.0,105.75,7382.85,433.1,7815.95,0,1,0,1,Stayed
193,23,0,33.748635,-117.906125,0,11,0.0,59.0,40.4,422.6,0.0,422.6,1,1,0,1,Stayed
194,63,0,37.521708,-120.426843,1,61,49.33,7.0,99.15,6010.05,3009.13,9019.18,0,1,1,0,Churned
195,50,0,36.319181,-117.593053,2,71,23.06,6.0,84.8,6046.1,1637.26,7683.36,0,1,0,1,Stayed
196,56,0,34.183286,-117.221722,0,9,40.74,0.0,19.85,178.8,366.66,545.46,0,0,1,0,Stayed
197,63,0,40.057784,-123.679461,0,6,39.16,8.0,49.45,314.6,234.96,549.56,1,1,1,0,Stayed
198,58,0,33.830099,-118.182239,0,26,38.09,22.0,88.8,2274.35,990.34,3314.69,0,0,1,0,Churned
199,29,0,34.141146,-117.655583,0,6,6.98,30.0,55.15,322.9,41.88,364.78,0,0,1,0,Stayed
200,54,0,38.684437,-121.055634,0,11,30.57,15.0,84.8,888.75,336.27,1225.02,0,1,1,0,Stayed
201,25,0,38.488431,-122.752839,1,1,43.67,73.0,80.55,80.55,43.67,124.22,0,0,1,0,Churned
202,31,0,34.074572,-118.831181,10,49,2.82,0.0,20.15,973.35,138.18,1111.53,0,0,0,0,Stayed
204,46,0,36.452211,-119.94575,0,53,43.57,13.0,99.5,5424.25,2309.21,7733.46,0,1,0,0,Stayed
205,28,0,34.18454,-119.224666,1,23,37.95,27.0,99.85,2331.3,872.85,3204.15,0,1,1,0,Churned
206,63,0,34.598221,-117.79593,0,2,25.49,9.0,45.35,89.5,50.98,140.48,1,1,1,0,Churned
207,37,0,34.084747,-117.886844,0,1,11.35,9.0,48.55,48.55,11.35,59.9,1,1,1,0,Churned
209,74,0,34.598221,-117.79593,1,68,21.33,24.0,100.2,6851.65,1450.44,8302.09,0,1,1,0,Churned
210,44,0,41.163637,-123.704841,0,8,19.49,10.0,94.7,740.3,155.92,976.22,0,0,1,0,Churned
211,21,0,33.752524,-118.210737,9,70,16.66,26.0,97.65,6982.5,1166.2,8228.7,0,0,0,1,Stayed
212,62,3,40.809636,-124.189977,9,39,17.29,75.0,100.0,3835.55,674.31,4509.86,0,1,0,1,Stayed
213,43,0,40.854512,-123.450097,0,1,17.37,25.0,70.1,70.1,17.37,87.47,0,1,1,0,Churned
214,40,0,33.766476,-117.969795,0,3,30.18,7.0,97.9,315.3,90.54,405.84,0,1,1,0,Churned
215,48,0,40.181279,-120.392967,8,60,19.22,4.0,102.5,6157.6,1153.2,7310.8,0,1,0,1,Stayed
216,55,0,40.448632,-122.306657,1,5,17.08,10.0,69.95,330.15,85.4,415.55,0,1,1,0,Churned
217,77,0,32.85723,-117.209774,0,3,9.22,14.0,81.35,233.7,27.66,261.36,0,1,1,0,Churned
218,41,0,32.808814,-117.134694,0,55,35.38,13.0,66.05,3462.1,1945.9,5513.47,0,0,0,1,Stayed
219,43,0,35.303926,-120.256567,0,72,0.0,6.0,61.2,4390.25,0.0,4390.25,1,1,0,0,Stayed
220,69,0,33.792791,-117.789749,7,72,5.27,9.0,74.4,5360.75,379.44,5880.19,1,0,0,0,Stayed
221,63,0,34.050198,-118.210946,0,41,10.43,22.0,106.3,4443.45,427.63,5001.08,0,0,1,0,Churned
222,38,0,37.284265,-121.827673,0,60,0.0,25.0,39.6,2424.5,0.0,2386.04,1,1,0,0,Stayed
223,43,0,32.787836,-117.232376,0,6,2.6,22.0,89.3,577.6,15.6,593.2,0,1,1,0,Churned
224,29,0,38.33788,-120.954202,6,46,2.0,48.0,108.9,4854.3,92.0,4946.3,0,1,0,0,Stayed
225,46,0,37.556094,-122.272437,0,15,2.74,0.0,19.9,320.45,41.1,361.55,0,0,1,0,Stayed
226,33,0,32.825086,-117.199424,1,58,3.51,28.0,102.1,5885.4,203.58,6188.98,0,0,1,0,Churned
227,60,3,34.030578,-118.399613,10,23,34.04,0.0,19.6,426.65,782.92,1209.57,0,0,0,0,Stayed
228,70,0,37.820894,-122.369725,1,31,47.95,21.0,98.9,2911.3,1486.45,4397.75,0,1,1,0,Churned
229,54,0,36.974575,-121.991149,1,11,12.95,6.0,45.9,521.9,142.45,664.35,0,1,1,0,Stayed
230,80,0,33.657433,-117.04254,0,56,17.33,16.0,99.9,5706.3,970.48,6676.78,0,1,0,0,Stayed
231,41,3,32.832706,-116.873258,0,25,12.87,0.0,20.05,471.7,321.75,793.45,0,0,1,0,Stayed
232,38,0,34.147149,-118.463365,0,68,0.0,28.0,66.75882352941177,4539.6,0.0,4669.6,1,0,0,0,Stayed
233,48,0,33.925833,-117.559639,0,40,26.03,0.0,19.65,830.25,1041.2,1871.45,0,0,0,0,Stayed
234,46,0,38.157794,-121.520223,0,36,24.66,22.0,84.9,3067.2,887.76,3954.96,0,1,1,0,Churned
235,22,0,34.659579,-118.584212,0,32,27.69,73.0,108.15,3432.9,886.08,4318.98,0,1,1,0,Churned
236,28,3,33.897122,-118.164432,10,71,10.11,59.0,86.85,6263.8,717.81,6981.61,1,1,0,0,Stayed
237,58,0,33.521447,-117.602555,2,17,10.11,2.0,102.55,1742.5,171.87,1914.37,0,1,1,0,Stayed
238,55,0,37.943954,-120.67108,6,18,31.79,19.0,78.2,1468.75,572.22,2040.97,0,1,1,0,Stayed
239,52,0,34.08111,-117.853935,0,37,11.73,30.0,91.2,3382.3,434.01,3816.31,0,0,1,0,Stayed
241,56,2,33.818477,-118.038307,6,28,12.94,24.0,70.4,1992.2,362.32,2354.52,0,1,0,1,Stayed
242,34,0,38.584505,-121.491956,0,9,0.0,19.0,39.55,373.0,0.0,373.0,0,1,0,1,Stayed
244,59,0,33.81859,-117.821288,1,65,23.46,0.0,20.4,1414.45,1524.9,2939.35,0,0,0,0,Stayed
